	Symbol	Description
0	AACG	Ata Creativity Global
1	AACQ	Artius Acquisition Inc Cl A
2	AACQU	Artius Acquisition Inc Unit
3	AAL	American Airlines Gp
4	AAME	Atlantic Amer Cp
5	AAOI	Applied Optoelect
6	AAON	Aaon Inc
7	AAPL	Apple Inc
8	AAWW	Atlas Air Ww
9	AAXJ	All Country Asia Ex Japan Ishares MSCI ETF
10	ABCB	Ameris Bancorp
11	ABCL	Abcellera Biologics Inc
12	ABCM	Abcam Plc ADR
13	ABEO	Abeona Therapeutics
14	ABGI	Abg Acquisition Corp I Cl A
15	ABIO	Arca Biopharma Inc
16	ABMD	Abiomed Inc
17	ABNB	Airbnb Inc Cl A
18	ABST	Absolute Software Cp
19	ABTX	Allegiance Banc CS
20	ABUS	Arbutus Biopharma Cp
21	ACAC	Acies Acquisition Corp Cl A
22	ACACU	Acies Acquisition Corp
23	ACACW	Acies Acquisition Corp WT
24	ACAD	Acadia Pharmaceutica
25	ACBI	Atlantic Capital
26	ACCD	Accolade Inc
27	ACER	Acer Therapeutics Inc
28	ACET	Adicet Bio Inc
29	ACEV	Ace Convergence Acquisition Corp. Cl A
30	ACEVU	Ace Convergence Acquisition Corp
31	ACGL	Arch Capital Grp Ltd
32	ACGLO	Arch Capital Group Ltd ADR
33	ACGLP	Arch Capital Group Ltd
34	ACHC	Acadia Healthcr Company
35	ACHV	Achieve Life Sciences Inc
36	ACIA	Acacia Communica
37	ACIU	AC Immune S.A.
38	ACIW	Aci Worldwide Inc
39	ACKIU	Ackrell Spac Partners I Co. Units
40	ACLS	Axcelis Tech Inc
41	ACMR	Acm Research Inc
42	ACNB	Acnb Corp
43	ACOR	Acorda Therapeutics
44	ACRS	Aclaris Therapts
45	ACRX	Acelrx Pharmaceutica
46	ACST	Acasti Pharma
47	ACTC	Arclight Clean Transition Corp. Cl A
48	ACTCU	Arclight Clean Transition Corp
49	ACTCW	Arclight Clean Transition Corp WT
50	ACTG	Acacia Res-Acacia
51	ACWI	ACWI Ishares MSCI ETF
52	ACWX	ACWI Ex US Ishares MSCI ETF
53	ADAG	Adagene Inc Ads
54	ADAP	Adaptimmune Ther Ads
55	ADBE	Adobe Systems Inc
56	ADERU	26 Capital Acquisition Corp
57	ADES	Advanced Emissions Solutions Inc
58	ADI	Analog Devices
59	ADIL	Adial Pharmaceuticals Inc
60	ADMA	Adma Biologics
61	ADMP	Adamis Pharmaceuticl
62	ADMS	Adamas Pharma
63	ADN	Advent Technologies Hldg Inc
64	ADOC	Edoc Acquisition Corp Cl A
65	ADP	Automatic Data Procs
66	ADPT	Adaptive Biotechnologies Corp
67	ADRE	Bldrs Emerging Markets 50 ADR ETF
68	ADSK	Autodesk Inc
69	ADTN	Adtran Inc
70	ADTX	Aditx Therapeutics Inc
71	ADUS	Addus Homecare Corp
72	ADV	Advantage Solutions Inc
73	ADVM	Adverum Biotechnlgs
74	ADXN	Addex Therapeutics Ltd ADR
75	ADXS	Advaxis Inc
76	AEACU	Authentic Equity Acquisition Corp
77	AEGN	Aegion Corp
78	AEHL	Antelope Enterprise Hldg Ltd
79	AEHR	Aehr Test Systems
80	AEI	Alset Ehome Intl Inc
81	AEIS	Advanced Energy
82	AEMD	Aethlon Medical
83	AEP	American Electric Power Company
84	AEPPL	American Elec Pwr CO Inc [Aep/Pb]
85	AEPPZ	American Electric Power Company Inc
86	AERI	Aerie Pharmaceuticals
87	AESE	Allied Esports Entertainment Inc
88	AEY	Addvantage Techs Group
89	AEYE	Audioeye Inc
90	AEZS	Aeterna Zentaris
91	AFBI	Affinity Bancshares Inc
92	AFIB	Acutus Medical Inc
93	AFIN	American Finance Trust Inc Cl A
94	AFINO	American Fin TR Inc
95	AFINP	American Finance Trust Inc Pfd Ser A
96	AFMD	Affimed N.V.
97	AFRM	Affirm Holdings Inc Cl A
98	AFYA	Afya Ltd Cl A
99	AGBA	Agba Acquisition Ltd
100	AGC	Altimeter Growth Corp Cl A
101	AGCUU	Altimeter Growth Corp
102	AGCWW	Altimeter Growth Corp WT
103	AGEN	Agenus Inc
104	AGFS	Agrofresh Solutions
105	AGFY	Agrify Corp
106	AGIO	Agios Pharmaceuticals
107	AGLE	Aeglea Biothera
108	AGMH	Agm Group Holdings Inc Cl A
109	AGNC	American Capital Age
110	AGNCM	Agnc Investment Corp Cum Red Pfd Ser D Fixed To
111	AGNCN	Agnc Investment Corp
112	AGNCO	Agnc Investment Corp Fxdfr Prf Perpetual USD 25
113	AGNCP	Agnc Investment Corp
114	AGRX	Agile Therap
115	AGTC	Applied Genetic Tech
116	AGYS	Agilysys Inc
117	AGZD	Wisdomtree Int Rate US Agg Bond Fund
118	AHAC	Alpha Healthcare Acquisition Corp
119	AHACU	Alpha Healthcare Acquisition Corp
120	AHCO	Adapthealth Corp Cl. A
121	AHPI	Allied Healthcare
122	AIA	Asia 50 Ishares ETF
123	AIH	Aesthetic Medical International Holdings Group L
124	AIHS	Senmiao Technology Ltd
125	AIKI	AIkido Pharma Inc
126	AIMC	Altra Indtl Mtn
127	AINV	Apollo Investment Company
128	AIQ	Global X Future Analytics Tech ETF
129	AIRG	Airgain Inc
130	AIRR	Rba American Industrial Renaissance ETF FT
131	AIRT	Air T Inc
132	AIRTP	Air T Inc Funding Alpha Income Trust Preferred
133	AKAM	Akamai Technologies
134	AKBA	Akebia Therapeutics
135	AKER	Akers Biosciences
136	AKICU	Sports Ventures Acquisition Corp
137	AKRO	Akero Therapeutics Inc
138	AKTS	Akoustis Technologies Inc
139	AKTX	Akari Therapeutics
140	AKU	Akumin Inc
141	AKUS	Akouos Inc
142	ALAC	Alberton Acquisition Corp
143	ALACR	Alberton Acquisition Corp Rights
144	ALACU	Alberton Acquisition Corp Unit
145	ALBO	Albireo Pharma Inc
146	ALCO	Alico Inc
147	ALDX	Aldeyra Therapeu
148	ALEC	Alector Inc
149	ALGM	Allegro Microsystems Inc
150	ALGN	Align Technology
151	ALGS	Aligos Therapeutics Inc
152	ALGT	Allegiant Travel Com
